title,count,iso
Alice_Eve,270,GBR
Frida_Kahlo,160,MEX
Eva_Mendes,138,USA
Emma_Watson,116,FRA
Elsa_Pataky,110,ESP
Aung_San_Suu_Kyi,104,MMR
Shakira,62,COL
Rihanna,52,BRB
Charlize_Theron,46,ZAF
Laura_Pausini,42,ITA
Mila_Kunis,38,UKR
Audrey_Hepburn,32,BEL
Lena_Headey,28,BMU
Marie_Curie,28,POL
Eva_Braun,28,DEU
Sarah_Bolger,26,IRL
Cobie_Smulders,22,CAN
Rachel_McAdams,22,CAN
Mia_Wasikowska,22,AUS
Isabel_Allende,22,PER
Nina_Dobrev,20,BGR
Aishwarya_Rai,16,IND
Cleopatra_VII,16,EGY
Ingrid_Bergman,14,SWE
Zhang_Ziyi,14,CHN
Yoko_Ono,12,JPN
Nicole_Polizzi,12,CHL
Michelle_Ang,10,NZL
Anna_Freud,10,AUT
Dilma_Rousseff,10,BRA
Rita_Ora,10,SRB
Doris_Lessing,10,IRN
Alexandra_Maria_Lara,8,ROU
Mata_Hari,8,NLD
Michelle_Yeoh,8,MYS
Jordana_Brewster,8,PAN
Jenna_Ushkowitz,6,KOR
Ayn_Rand,6,RUS
Sade_Adu,6,NGA
Freja_Beha_Erichsen,6,DNK
Grace_Jones,6,JAM
Gloria_Estefan,6,CUB
Isla_Fisher,6,OMN
Tarja_Turunen,6,FIN
Martina_Hingis,4,SVK
Martina_Navratilova,4,CZE
Madeleine_Albright,4,CZE
Cristina_Kirchner,4,ARG
Evita_Peron,4,ARG
Wangari_Maathai,4,KEN
Benazir_Bhutto,4,PAK
Sonja_Henie,4,NOR
Silvia_Saint,4,CZE
Santa_Barbara,4,TUR
Ellen_Johnson_Sirleaf,4,LBR
Ellen_Johnson-Sirleaf,4,LBR
Arianna_Huffington,4,GRC
Imelda_Marcos,2,PHL
Agnes_Monica,2,IDN
Susan_Polgar,2,HUN
Zsa_Zsa_Gabor,2,HUN
Sirimavo_Bandaranaike,2,LKA
Gui_Gui,2,TWN
Barbie_Hsu,2,TWN
Anita_Mui,2,HKG
Adrienne_Clarkson,2,HKG
Maria,2,ISR
Shanty,2,IDN
Anggun,2,IDN
Pauline_Nyiramasuhuko,2,RWA
Kaiane_Aldorino,2,GIB
Dana_International,2,ISR
Gal_Gadot,2,ISR
Maria_Magdalena,2,ISR
Leila_Lopes,2,AGO
Ranavalona_I,2,MDG
Ivian_Sarcos,2,VEN
Anna_Rossinelli,2,CHE
Aisha,2,SAU
Marija_Gimbutas,2,LTU
